[28-Jun-2019 00:01:26 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[28-Jun-2019 00:15:52 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[28-Jun-2019 17:14:25 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[28-Jun-2019 17:14:36 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
[29-Jun-2019 13:54:15 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 13:54:15 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 14:01:17 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 14:01:17 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 14:01:17 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 14:01:17 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 14:07:11 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 14:07:11 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 14:07:11 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 14:07:11 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 14:48:30 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 14:48:30 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 16:04:25 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 16:04:25 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 16:04:25 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 16:04:25 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 16:07:22 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 16:07:22 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[29-Jun-2019 16:07:22 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[29-Jun-2019 16:07:22 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[30-Jun-2019 16:03:38 Asia/Shanghai] PHP Notice:  Array to string conversion in I:\0web\sunlight\php\dosql\mysql.php on line 288
